Metrica Decision Tree,Mean,SE,Worst
accuracy,0.9298245614035088,0.8070175438596491,0.956140350877193
precision,0.8979591836734694,0.7450980392156863,0.92
recall,0.9361702127659575,0.8085106382978723,0.9787234042553191
f1,0.9166666666666666,0.7755102040816326,0.9484536082474226
roc_auc,0.9307716735471578,0.8072403937758019,0.9595109558590028
