Metrica Random Forrest,Mean,SE,Worst
accuracy,0.9298245614035088,0.9035087719298246,0.9649122807017544
precision,0.8979591836734694,0.86,0.9574468085106383
recall,0.9361702127659575,0.9148936170212766,0.9574468085106383
f1,0.9166666666666666,0.8865979381443299,0.9574468085106383
roc_auc,0.9930136551286122,0.9533185138139092,0.9961892664337885
