Metrica Gradient Boosting,Mean,SE,Worst
accuracy,0.956140350877193,0.9122807017543859,0.956140350877193
precision,0.9375,0.8775510204081632,0.9375
recall,0.9574468085106383,0.9148936170212766,0.9574468085106383
f1,0.9473684210526315,0.8958333333333334,0.9473684210526315
roc_auc,0.9939663385201652,0.9688790092092728,0.9971419498253413
